tier,user_id
budget_tier,20260101000046
random_tier,20260101000047
premium_tier,20260101000048
budget_tier,20260102000049
random_tier,20260102000050
premium_tier,20260102000051
budget_tier,20260103000052
random_tier,20260103000053
premium_tier,20260103000054
budget_tier,20260104000055
random_tier,20260104000056
premium_tier,20260104000057
budget_tier,20260105000058
random_tier,20260105000059
premium_tier,20260105000060
budget_tier,20260106000061
random_tier,20260106000062
premium_tier,20260106000063
budget_tier,20260107000064
random_tier,20260107000065
premium_tier,20260107000066
budget_tier,20260108000067
random_tier,20260108000068
premium_tier,20260108000069
budget_tier,20260109000070
random_tier,20260109000071
premium_tier,20260109000072
budget_tier,20260110000073
random_tier,20260110000074
premium_tier,20260110000075
budget_tier,20260111000076
random_tier,20260111000077
premium_tier,20260111000078
budget_tier,20260112000079
random_tier,20260112000080
premium_tier,20260112000081
budget_tier,20260113000082
random_tier,20260113000083
premium_tier,20260113000084
budget_tier,20260114000085
random_tier,20260114000086
premium_tier,20260114000087
budget_tier,20260115000088
random_tier,20260115000089
premium_tier,20260115000090
budget_tier,20260116000091
random_tier,20260116000092
premium_tier,20260116000093
budget_tier,20260117000094
random_tier,20260117000095
premium_tier,20260117000096
budget_tier,20260118000097
random_tier,20260118000098
premium_tier,20260118000099
budget_tier,20260119000100
random_tier,20260119000101
premium_tier,20260119000102
budget_tier,20260120000103
random_tier,20260120000104
premium_tier,20260120000105
budget_tier,20260121000106
random_tier,20260121000107
premium_tier,20260121000108
budget_tier,20260122000109
random_tier,20260122000110
premium_tier,20260122000111
budget_tier,20260123000112
random_tier,20260123000113
premium_tier,20260123000114
budget_tier,20260124000115
random_tier,20260124000116
premium_tier,20260124000117
budget_tier,20260125000118
random_tier,20260125000119
premium_tier,20260125000120
budget_tier,20260126000121
random_tier,20260126000122
premium_tier,20260126000123
budget_tier,20260127000124
random_tier,20260127000125
premium_tier,20260127000126
budget_tier,20260128000127
random_tier,20260128000128
premium_tier,20260128000129
budget_tier,20260129000130
random_tier,20260129000131
premium_tier,20260129000132
budget_tier,20260130000133
random_tier,20260130000134
premium_tier,20260130000135
budget_tier,20260131000136
random_tier,20260131000137
premium_tier,20260131000138
budget_tier,20260201000139
random_tier,20260201000140
premium_tier,20260201000141
budget_tier,20260202000142
random_tier,20260202000143
premium_tier,20260202000144
budget_tier,20260203000145
random_tier,20260203000146
premium_tier,20260203000147
budget_tier,20260204000148
random_tier,20260204000149
premium_tier,20260204000150
budget_tier,20260205000151
random_tier,20260205000152
premium_tier,20260205000153
budget_tier,20260206000154
random_tier,20260206000155
premium_tier,20260206000156
budget_tier,20260207000157
random_tier,20260207000158
premium_tier,20260207000159
budget_tier,20260208000160
random_tier,20260208000161
premium_tier,20260208000162
budget_tier,20260209000163
random_tier,20260209000164
premium_tier,20260209000165
budget_tier,20260210000166
random_tier,20260210000167
premium_tier,20260210000168
